date,slot,gamma,observed_count,observed_price_sum,baseline_observed_sum,baseline_price_yuan_per_kwh
2025-12-10,142,1.0517078457740316,142,130.9981,124.5575,0.4555
2025-12-10,143,1.051551670069303,143,131.4448,125.0008,0.4433
2025-12-10,144,1.0518674614260937,144,131.9269,125.4216,0.42079999999999995
2025-12-11,1,0.9756154474367622,1,0.4181,0.42855,0.42855
2025-12-11,2,0.9810588235282577,2,0.8339000000000001,0.85,0.42145
2025-12-11,3,1.0598927055800627,3,1.3237,1.2489,0.3989
2025-12-11,4,1.0911557243617949,4,1.8099,1.6586999999999998,0.4098
2025-12-11,5,1.0762507462681428,5,2.2534,2.09375,0.43505
2025-12-11,6,1.0481018627678031,6,2.6670000000000003,2.5446,0.45085
2025-12-11,7,1.026274031635395,7,3.0721000000000003,2.99345,0.44884999999999997
2025-12-11,8,1.0152350932489815,8,3.4785000000000004,3.4263,0.43285
2025-12-11,9,1.0110061058605866,9,3.8994000000000004,3.85695,0.43065
2025-12-11,10,1.0083722651369147,10,4.36,4.3238,0.46685
2025-12-11,11,1.0108710380119423,11,4.8493,4.79715,0.47335
2025-12-11,12,1.0170121161317884,12,5.338500000000001,5.2492,0.45205
2025-12-11,13,1.0168848316324308,13,5.814700000000001,5.71815,0.46895
2025-12-11,14,1.0160621176165086,14,6.294200000000001,6.194699999999999,0.47655000000000003
2025-12-11,15,1.0176716113144832,15,6.778100000000001,6.660399999999999,0.4657
2025-12-11,16,1.0127559419151408,16,7.228900000000001,7.13785,0.47745000000000004
2025-12-11,17,1.0050910617749167,17,7.660000000000001,7.6212,0.48335000000000006
2025-12-11,18,0.9998021638329522,18,8.0859,8.0875,0.46630000000000005
2025-12-11,19,0.9944959290976025,19,8.4831,8.530050000000001,0.44255
2025-12-11,20,0.9943716285496641,20,8.9219,8.9724,0.44235
2025-12-11,21,0.9998356997863037,21,9.432400000000001,9.433950000000001,0.46155
2025-12-11,22,1.0000100967265402,22,9.904300000000001,9.904200000000001,0.47025
2025-12-11,23,0.9966205482220811,23,10.3512,10.386300000000002,0.4821
2025-12-11,24,0.9963267238881562,24,10.8359,10.87585,0.48955000000000004
2025-12-11,25,0.9998280991734657,25,11.341800000000001,11.34375,0.4679
2025-12-11,26,1.0026274749117676,26,11.829400000000001,11.7984,0.45465
2025-12-11,27,1.0037584626621827,27,12.2984,12.252350000000002,0.45395
2025-12-11,28,1.0085923988195984,28,12.800500000000001,12.691450000000001,0.4391
2025-12-11,29,1.0123562901464567,29,13.309600000000001,13.147150000000002,0.4557
2025-12-11,30,1.0108714383663868,30,13.784900000000002,13.636650000000001,0.4895
2025-12-11,31,1.0095777162246649,31,14.251300000000002,14.116100000000001,0.47945000000000004
2025-12-11,32,1.0093837544606392,32,14.736700000000003,14.5997,0.48360000000000003
2025-12-11,33,1.0091824654371864,33,15.216100000000003,15.07765,0.47795
2025-12-11,34,1.0097754957894731,34,15.654600000000002,15.50305,0.4254
2025-12-11,35,1.0092572259251194,35,16.315400000000004,16.16575,0.6627000000000001
2025-12-11,36,1.0071636900265515,36,17.335100000000004,17.2118,1.0460500000000001
2025-12-11,37,1.006583303691083,37,18.393800000000006,18.2735,1.0617
2025-12-11,38,1.006314107386468,38,19.396000000000004,19.274299999999997,1.0008
2025-12-11,39,1.0058978881913636,39,20.415100000000002,20.295399999999997,1.0211000000000001
2025-12-11,40,1.0083189673394333,40,21.4658,21.288700000000002,0.9933000000000001
2025-12-11,41,1.010424962479512,41,22.520200000000003,22.287850000000002,0.99915
2025-12-11,42,1.0096775161756013,42,23.547800000000002,23.322100000000002,1.0342500000000001
2025-12-11,43,1.0093193943318424,43,24.5469,24.32025,0.9981500000000001
2025-12-11,44,1.0097946175076906,44,25.537100000000002,25.2894,0.96915
2025-12-11,45,1.0100678176737277,45,26.4962,26.2321,0.9427
2025-12-11,46,1.0102078837178903,46,27.383200000000002,27.1065,0.8744000000000001
2025-12-11,47,1.0102676185622845,47,28.4505,28.16135,1.05485
2025-12-11,48,1.0104121166563051,48,29.840400000000002,29.5329,1.37155
2025-12-11,49,1.0110109721669462,49,31.264200000000002,30.9237,1.3908
2025-12-11,50,1.0117225825951186,50,32.6364,32.258250000000004,1.3345500000000001
2025-12-11,51,1.0124046497707422,51,33.996700000000004,33.58015,1.3219
2025-12-11,52,1.0136205594650252,52,35.304100000000005,34.8297,1.2495500000000002
2025-12-11,53,1.014963392756774,53,36.577200000000005,36.03795,1.20825
2025-12-11,54,1.0159651708042168,54,37.8509,37.2561,1.21815
2025-12-11,55,1.0169160981812102,55,39.108000000000004,38.45745,1.2013500000000001
2025-12-11,56,1.0175477551514498,56,40.3273,39.63185,1.1743999999999999
2025-12-11,57,1.0178467212350721,57,41.5084,40.7806,1.1487500000000002
2025-12-11,58,1.0186767911666517,58,42.6876,41.90495,1.1243500000000002
2025-12-11,59,1.0202945454418584,59,43.947300000000006,43.07315,1.1682000000000001
2025-12-11,60,1.0225449030509133,60,45.3083,44.309349999999995,1.2362
2025-12-11,61,1.025234378861668,61,46.6679,45.51924999999999,1.2099
2025-12-11,62,1.0276276809984932,62,47.991600000000005,46.70134999999999,1.1821
2025-12-11,63,1.029819762180826,63,49.334700000000005,47.90614999999999,1.2048
2025-12-11,64,1.0330309232163193,64,50.727500000000006,49.105500000000006,1.19935
2025-12-11,65,1.035576832817026,65,51.85040000000001,50.069100000000006,0.9636
2025-12-11,66,1.0359727833213843,66,52.543400000000005,50.718900000000005,0.6497999999999999
2025-12-11,67,1.0356554883242994,67,53.187900000000006,51.356750000000005,0.63785
2025-12-11,68,1.0352476480114765,68,53.88640000000001,52.051700000000004,0.69495
2025-12-11,69,1.034840334492983,69,54.56770000000001,52.73055,0.67885
2025-12-11,70,1.0350867500723153,70,55.27120000000001,53.39765,0.6671
2025-12-11,71,1.0368334300466346,71,56.015600000000006,54.02565,0.628
2025-12-11,72,1.0391192089360732,72,56.746300000000005,54.61,0.5843499999999999
2025-12-11,73,1.0389634143580688,73,57.371300000000005,55.21975,0.60975
2025-12-11,74,1.0375471341792315,74,57.962,55.86445,0.6447
2025-12-11,75,1.0374307505888063,75,58.6041,56.48965,0.6252
2025-12-11,76,1.0385800981720055,76,59.2646,57.0631,0.57345
2025-12-11,77,1.0391761711966052,77,60.0476,57.78385,0.72075
2025-12-11,78,1.0386087211068378,78,61.026,58.75745,0.9736
2025-12-11,79,1.038928849957976,79,62.078700000000005,59.7526,0.99515
2025-12-11,80,1.0401989279627002,80,63.1666,60.725500000000004,0.9729000000000001
2025-12-11,81,1.0409201711953777,81,64.2445,61.71895000000001,0.9934499999999999
2025-12-11,82,1.0400942399273732,82,65.2046,62.691050000000004,0.9721
2025-12-11,83,1.0393062205834447,83,66.2671,63.76090000000001,1.06985
2025-12-11,84,1.0402744037994212,84,67.6169,64.99910000000001,1.2382
2025-12-11,85,1.0423170753799638,85,69.0435,66.24040000000001,1.2413
2025-12-11,86,1.043489158484842,86,70.3583,67.426,1.1856
2025-12-11,87,1.0434277148057916,87,71.6226,68.64165,1.2156500000000001
2025-12-11,88,1.044287551807903,88,73.06880000000001,69.97,1.32835
