date,update_time,slot,previous_plan_kwh,new_plan_kwh,increase_kwh,decrease_kwh,adjustment_cost_yuan,alpha,lambda,scenario_count,primary_objective,secondary_throughput,primary_status,secondary_status,empirical_cvar_yuan,initial_soc_kwh,plan_terminal_soc_kwh,max_constraint_violation
2025-03-20,00:00,100,0.0,760.184338888889,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,101,0.0,803.8587444444443,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,102,0.0,837.8181500000001,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,103,0.0,864.0654055555556,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,104,0.0,901.7422194444442,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,105,0.0,946.3415203333319,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,106,0.0,1045.6931472222223,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,107,0.0,939.9389833333332,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,108,0.0,726.5908333333332,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,109,0.0,691.2768416666668,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,110,0.0,703.0212249999998,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,111,0.0,696.3166666666666,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,112,0.0,708.7934999999999,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,113,0.0,549.5870062800035,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,114,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,115,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,116,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,117,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,118,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,119,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,120,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,121,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,122,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,123,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,124,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
