slot,source_time,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,x_kwh,y_kwh,q_kwh,z_kwh,soc_kwh,soc_previous_kwh,grid_purchase_kwh,charge_input_kwh,battery_charge_kwh,battery_discharge_kwh,supply_surplus_kwh,cost_yuan,throughput_kwh
46,07:40:00,0.6899,4383.3566,2683.1752,730.5594333333333,447.1958666666667,0.0,0.0,0.0,283.36356666666666,4548.071518518518,4862.919925925926,0.0,0.0,0.0,314.84840740740736,0.0,0.0,314.84840740740736
47,07:50:00,0.86,4910.4599,2986.3552,818.4099833333332,497.72586666666666,0.0,0.0,0.0,320.68411666666657,4191.755833333333,4548.071518518518,0.0,0.0,0.0,356.3156851851851,0.0,0.0,356.3156851851851
48,08:00:00,1.1617,5799.7327,3289.204,966.6221166666666,548.2006666666666,0.0,0.0,0.0,418.42144999999994,3726.8431111111104,4191.755833333333,0.0,0.0,0.0,464.91272222222216,0.0,0.0,464.91272222222216
49,08:10:00,1.1683,5884.826,3593.3613,980.8043333333333,598.89355,0.0,0.0,0.0,381.91078333333326,3302.4977962962957,3726.8431111111104,0.0,0.0,0.0,424.34531481481474,0.0,0.0,424.34531481481474
50,08:20:00,1.0956,5748.0713,3890.7332,958.0118833333332,648.4555333333333,0.0,0.0,0.0,309.55634999999995,2958.5462962962956,3302.4977962962957,0.0,0.0,0.0,343.95149999999995,0.0,0.0,343.95149999999995
51,08:30:00,1.0849,5769.0581,4181.3417,961.5096833333333,696.8902833333333,0.0,0.0,0.0,264.61940000000004,2664.52474074074,2958.5462962962956,0.0,0.0,0.0,294.0215555555556,0.0,0.0,294.0215555555556
52,08:40:00,1.061,5754.2105,4471.7657,959.0350833333333,745.2942833333333,0.0,0.0,0.0,213.74080000000004,2427.0349629629623,2664.52474074074,0.0,0.0,0.0,237.48977777777782,0.0,0.0,237.48977777777782
53,08:50:00,1.043,5824.1807,4752.8272,970.6967833333333,792.1378666666666,0.0,0.0,0.0,178.55891666666673,2228.6361666666658,2427.0349629629623,0.0,0.0,0.0,198.39879629629635,0.0,0.0,198.39879629629635
54,09:00:00,1.036,5954.2601,5021.9074,992.3766833333334,836.9845666666666,0.0,0.0,0.0,155.39211666666677,2055.9782592592583,2228.6361666666658,0.0,0.0,0.0,172.65790740740752,0.0,0.0,172.65790740740752
55,09:10:00,1.0147,5958.9696,5285.4126,993.1616,880.9020999999999,0.0,0.0,0.0,112.25950000000012,1931.2454814814803,2055.9782592592583,0.0,0.0,0.0,124.7327777777779,0.0,0.0,124.7327777777779
56,09:20:00,0.9922,5929.5554,5543.1742,988.2592333333333,923.8623666666667,0.0,0.0,0.0,64.3968666666666,1859.6934074074063,1931.2454814814803,0.0,0.0,0.0,71.552074074074,0.0,0.0,71.552074074074
57,09:30:00,0.97,5923.7828,5788.4093,987.2971333333332,964.7348833333333,0.0,0.0,0.0,22.56224999999995,1834.6242407407397,1859.6934074074063,0.0,0.0,0.0,25.06916666666661,0.0,0.0,25.06916666666661
58,09:40:00,0.9422,5907.586,6012.1304,984.5976666666667,1002.0217333333333,0.0,0.0,17.42406666666659,0.0,1850.3059007407396,1834.6242407407397,0.0,17.42406666666659,15.681659999999932,0.0,0.0,0.0,15.681659999999932
59,09:50:00,0.9569,5899.1262,6216.1528,983.1877,1036.0254666666665,0.0,0.0,52.83776666666654,0.0,1897.8598907407395,1850.3059007407396,0.0,52.83776666666654,47.553989999999885,0.0,0.0,0.0,47.553989999999885
60,10:00:00,0.9977,5902.2196,6409.5941,983.7032666666667,1068.2656833333333,0.0,0.0,84.56241666666665,0.0,1973.9660657407394,1897.8598907407395,0.0,84.56241666666665,76.106175,0.0,0.0,0.0,76.106175
61,10:10,0.9919,5897.4793,6599.3808,982.9132166666666,1099.8968,0.0,0.0,116.9835833333334,0.0,2079.2512907407395,1973.9660657407394,0.0,116.9835833333334,105.28522500000007,0.0,0.0,0.0,105.28522500000007
62,10:20,0.9588,5886.7568,6766.7204,981.1261333333333,1127.7867333333334,0.0,0.0,146.66060000000004,0.0,2211.2458307407396,2079.2512907407395,0.0,146.66060000000004,131.99454000000006,0.0,0.0,0.0,131.99454000000006
