date,slot,price_yuan_per_kwh,soc_day_start_kwh,x_real_kwh,y_real_kwh,q_real_kwh,z_real_kwh,soc_real_end_kwh,soc_real_start_kwh,grid_purchase_plan_kwh,load_actual_kwh,pv_actual_kwh,emergency_purchase_kwh,emergency_cost_slot_yuan,planned_cost_slot_yuan,total_cost_slot_yuan,source_time
2025-07-21,35,0.5708,1200.0,0.0,616.9809633333335,0.0,4.653269964958895,10794.829700038934,10800.0,616.9809633333335,754.9056833333334,133.27145,3.504101186990738e-08,1.0000704787671566e-07,352.1727338706668,352.17273397067385,05:50:00
2025-07-21,36,0.9099,1200.0,0.0,0.0,0.0,695.4662500000001,10022.089422261157,10794.829700038934,0.0,869.335,173.86875,0.0,0.0,0.0,0.0,06:00:00
2025-07-21,37,0.9368,1200.0,0.0,0.0,0.0,608.8077166666667,9345.63640374264,10022.089422261157,0.0,825.1242166666666,216.31649999999996,0.0,0.0,0.0,0.0,06:10:00
2025-07-21,38,0.8758,1200.0,0.0,0.0,0.0,576.1166333333333,8705.506811150046,9345.63640374264,0.0,836.2392166666666,260.1225833333333,0.0,0.0,0.0,0.0,06:20:00
2025-07-21,39,0.8759,1200.0,0.0,0.0,0.0,614.1345833333334,8023.135051890787,8705.506811150046,0.0,916.2783333333333,302.14374999999995,0.0,0.0,0.0,0.0,06:30:00
2025-07-21,40,0.8601,1200.0,0.0,0.0,0.0,525.1592333333334,7439.624792631527,8023.135051890787,0.0,865.5072833333334,340.34804999999994,0.0,0.0,0.0,0.0,06:40:00
2025-07-21,41,0.8442,1200.0,0.0,0.0,0.0,446.92564999999985,6943.040737075972,7439.624792631527,0.0,835.5476999999998,388.62205,0.0,0.0,0.0,0.0,06:50:00
2025-07-21,42,0.8334,1200.0,0.0,0.0,0.0,431.2454166666666,6463.879163001899,6943.040737075972,0.0,876.5766666666666,445.33125,0.0,0.0,0.0,0.0,07:00:00
2025-07-21,43,0.8092,1200.0,0.0,0.0,0.0,380.9550333333333,6040.595792631529,6463.879163001899,0.0,874.0145166666666,493.05948333333333,0.0,0.0,0.0,0.0,07:10:00
2025-07-21,44,0.7972,1200.0,0.0,123.29353245000195,0.0,172.7729508833331,5848.625847205603,6040.595792631529,123.29353245000195,825.68355,529.6170666666667,-1.7681577309737957e-12,-7.04787671566155e-12,98.28960406914156,98.28960406913451,07:20:00
2025-07-21,45,0.7644,1200.0,90.43083333333334,219.80875000000003,0.0,0.0,5930.013597205603,5848.625847205603,310.23958333333337,781.54,561.7312499999999,0.0,0.0,237.1471375,237.1471375,07:30:00
2025-07-21,46,0.6899,1200.0,28.253518333333318,215.81931666666662,0.0,0.0,5955.441763705603,5930.013597205603,244.07283499999994,814.2425666666666,598.4232499999999,0.0,0.0,168.38584886649994,168.38584886649994,07:40:00
2025-07-21,47,0.86,1200.0,0.0,0.0,0.0,351.85393333333343,5564.492948890788,5955.441763705603,0.0,990.6682000000001,638.8142666666666,0.0,0.0,0.0,0.0,07:50:00
2025-07-21,48,1.1617,1200.0,0.0,0.0,0.0,481.9408333333332,5029.003134075973,5564.492948890788,0.0,1172.9783333333332,691.0375,0.0,0.0,0.0,0.0,08:00:00
